city,confirmed,deaths,estimated_population,confirmed_per_100k_inhabitants,death_rate,pib_per_capita,n_vaccinations,demographic_density,vaccinated,vaccinated_per_100k_inhabitants
PILOEZINHOS,711,13,4955,14349.14228,0.0183,9927.17,3657,117.42,2821,56932.39152371342
PIRPIRITUBA,815,17,10584,7700.30234,0.0209,8418.63,6718,129.33,5146,48620.55933484505
PITIMBU,1683,22,19275,8731.51751,0.0131,14395.97,10273,124.78,8215,42619.974059662774
POCINHOS,1384,21,18708,7397.90464,0.0152,13069.68,12518,27.12,9473,50636.09151165277
POCO DANTAS,245,4,3882,6311.1798,0.0163,9526.76,3149,38.57,2392,61617.72282328697
POCO DE JOSE DE MOURA,295,3,4337,6801.93682,0.0102,9663.61,3646,39.4,2635,60756.28314503113
POMBAL,5857,84,32802,17855.61856,0.0143,12688.31,25430,36.13,19208,58557.40503627827
PRATA,338,5,4238,7975.46012,0.0148,12437.08,2642,20.07,2107,49716.84756960831
PRINCESA ISABEL,2113,53,23549,8972.78016,0.0251,10501.83,16439,57.84,12301,52235.76372669753
PUXINANA,812,7,13741,5909.32247,0.0086,7918.19,11176,177.81,8374,60941.70729932319
QUEIMADAS,4029,85,44179,9119.71751,0.0211,11580.32,33378,102.17,25144,56913.918377509675
QUIXABA,109,2,1983,5496.72214,0.0183,11812.52,1480,10.84,1108,55874.936964195665
REMIGIO,1371,25,19798,6924.94191,0.0182,8884.28,13674,98.77,10380,52429.538337205784
RIACHAO,207,5,3619,5719.8121,0.0242,8811.27,2314,36.23,1750,48355.89941972921
RIACHAO DO BACAMARTE,485,0,4541,10680.46686,0.0,10013.69,3187,111.13,2394,52719.66527196653
RIACHAO DO POCO,287,6,4540,6321.5859,0.0209,10536.05,3238,104.35,2501,55088.10572687225
RIACHO DE SANTO ANTONIO,158,5,1974,8004.05268,0.0316,13495.26,1438,18.86,1113,56382.97872340425
RIACHO DOS CAVALOS,876,17,8541,10256.41026,0.0194,9631.7,7086,31.49,5127,60028.09975412715
RIO TINTO,2659,56,24218,10979.43678,0.0211,11042.3,16792,49.42,12905,53286.811462548525
SALGADINHO,183,1,3931,4655.30399,0.0055,7191.94,2152,19.04,1677,42660.900534215216
SALGADO DE SAO FELIX,928,12,12131,7649.82277,0.0129,9725.13,9351,59.33,6891,56804.88005935207
SANTA CECILIA,480,4,6541,7338.32747,0.0083,8305.19,4792,29.22,3749,57315.39519951078
SANTA CRUZ,455,8,6581,6913.84288,0.0176,8569.44,5265,30.79,3863,58699.28582282328
SANTA HELENA,611,13,5871,10407.08568,0.0213,8803.85,3989,25.53,3105,52887.072049054674
SANTA INES,131,7,3593,3645.97829,0.0534,8701.93,2480,10.91,1901,52908.43306429168
SANTA LUZIA,2291,27,15426,14851.54933,0.0118,14631.82,11120,32.3,8488,55023.985479061324
SANTANA DE MANGUEIRA,413,5,5129,8052.2519,0.0121,8527.44,3528,13.26,2609,50867.61551959447
SANTANA DOS GARROTES,463,10,6986,6627.5408,0.0216,8105.93,5224,20.54,3870,55396.507300314915
SANTA RITA,9434,331,137349,6868.63392,0.0351,18821.11,79284,165.52,64113,46678.89828102134
SANTA TERESINHA,271,13,4562,5940.37703,0.048,9825.4,3819,12.8,2795,61266.98816308637
SANTO ANDRE,402,3,2509,16022.31965,0.0075,10302.53,2390,11.72,1737,69230.76923076923
